workload,label,runs,real_mean_s,user_mean_s,sys_mean_s,instructions_mean,rss_mean_bytes,cycles_mean
parse,c8e40aa,30,0.000667,0.000000,0.000000,123846091,10475383,34910892
parse,2bd9920,30,0.000333,0.000000,0.000000,113367597,10488491,32236475
hello,c8e40aa,8,0.172500,0.118750,0.038750,2692059179,187713536,720835505
hello,2bd9920,8,0.158750,0.112500,0.037500,2537775395,188700672,682729638
firefox,c8e40aa,8,0.508750,0.410000,0.081250,8046607748,645140480,2125717004
firefox,2bd9920,8,0.498750,0.406250,0.082500,7891504528,645836800,2115554239
iso,c8e40aa,6,5.360000,3.595000,1.875000,82154139430,2772858197,23396691819
iso,2bd9920,6,5.146667,3.576667,1.893333,81054417936,2754101248,23331668892
